,Community Area,SchoolID
0,Albany Park,9
1,Archer Heights,5
2,Armour Square,3
3,Ashburn,11
4,Auburn Gresham,17
5,Austin,26
6,Avalon Park,5
7,Avondale,8
8,Belmont Cragin,15
9,Beverly,3
10,Bridgeport,5
11,Brighton Park,12
12,Burnside,1
13,Calumet Heights,5
14,Chatham,10
15,Chicago Lawn,9
16,Clearing,4
17,Douglas,13
18,Dunning,6
19,East Garfield Park,14
20,East Side,5
21,Edgewater,6
22,Edison Park,3
23,Englewood,18
24,Forest Glen,3
25,Fuller Park,2
26,Gage Park,13
27,Garfield Ridge,6
28,Grand Boulevard,11
29,Greater Grand Crossing,11
30,Hegewisch,2
31,Hermosa,5
32,Humboldt Park,18
33,Hyde Park,4
34,Irving Park,10
35,Jefferson Park,2
36,Kenwood,8
37,Lake View,10
38,Lincoln Park,7
39,Lincoln Square,5
40,Logan Square,12
41,Loop,3
42,Lower West Side,15
43,Mckinley Park,5
44,Montclare,1
45,Morgan Park,6
46,Mount Greenwood,4
47,Near North Side,8
48,Near South Side,4
49,Near West Side,27
50,New City,16
51,North Center,7
52,North Lawndale,24
53,North Park,6
54,Norwood Park,8
55,Oakland,2
56,Ohare,1
57,Portage Park,7
58,Pullman,7
59,Riverdale,6
60,Rogers Park,7
61,Roseland,12
62,South Chicago,12
63,South Deering,3
64,South Lawndale,24
65,South Shore,11
66,Uptown,8
67,Washington Heights,12
68,Washington Park,6
69,West Elsdon,3
70,West Englewood,13
71,West Garfield Park,6
72,West Lawn,4
73,West Pullman,8
74,West Ridge,10
75,West Town,24
76,Woodlawn,7
