,Community,Year,Count
11,1,2001,51
12,1,2002,5899
13,1,2003,7628
14,1,2004,7587
15,1,2005,7484
16,1,2006,7155
17,1,2007,6783
18,1,2008,6388
19,1,2009,5878
20,1,2010,5571
21,1,2011,5107
22,1,2012,4919
23,1,2013,4421
24,1,2014,3777
25,1,2015,3508
26,1,2016,3638
27,1,2017,4069
28,1,2018,2898
29,2,2001,37
30,2,2002,3940
31,2,2003,5195
32,2,2004,5735
33,2,2005,5807
34,2,2006,6024
35,2,2007,5250
36,2,2008,5378
37,2,2009,5164
38,2,2010,4879
39,2,2011,4413
40,2,2012,4024
41,2,2013,3803
42,2,2014,3393
43,2,2015,3051
44,2,2016,3257
45,2,2017,3538
46,2,2018,2614
47,3,2001,70
48,3,2002,5863
49,3,2003,7464
50,3,2004,7413
51,3,2005,7490
52,3,2006,6780
53,3,2007,6381
54,3,2008,5904
55,3,2009,5125
56,3,2010,5069
57,3,2011,4763
58,3,2012,4961
59,3,2013,4276
60,3,2014,3791
61,3,2015,3563
62,3,2016,3517
63,3,2017,3475
64,3,2018,2679
65,4,2001,33
66,4,2002,2573
67,4,2003,3251
68,4,2004,3341
69,4,2005,3350
70,4,2006,3268
71,4,2007,2840
72,4,2008,2743
73,4,2009,2607
74,4,2010,2559
75,4,2011,2310
76,4,2012,2325
77,4,2013,2215
78,4,2014,1892
79,4,2015,1739
80,4,2016,1957
81,4,2017,1950
82,4,2018,1487
83,5,2001,24
84,5,2002,2359
85,5,2003,3256
86,5,2004,3130
87,5,2005,2974
88,5,2006,2810
89,5,2007,2625
90,5,2008,2542
91,5,2009,2406
92,5,2010,2061
93,5,2011,1940
94,5,2012,1916
95,5,2013,1717
96,5,2014,1531
97,5,2015,1369
98,5,2016,1369
99,5,2017,1372
100,5,2018,958
101,6,2001,52
102,6,2002,6416
103,6,2003,8611
104,6,2004,8616
105,6,2005,7708
106,6,2006,7818
107,6,2007,7975
108,6,2008,8072
109,6,2009,7654
110,6,2010,7458
111,6,2011,7502
112,6,2012,7653
113,6,2013,6804
114,6,2014,5666
115,6,2015,5468
