,Date,Hour,DateTime
0,2011-09-01,A,100
1,2011-09-01,B,26
2,2011-09-01,C,29
3,2011-09-01,D,19
4,2011-09-01,E,19
5,2011-09-01,F,11
6,2011-09-01,G,23
7,2011-09-01,H,27
8,2011-09-01,I,43
9,2011-09-01,J,93
10,2011-09-01,K,56
11,2011-09-01,L,50
12,2011-09-01,M,70
13,2011-09-01,N,59
14,2011-09-01,O,42
15,2011-09-01,P,54
16,2011-09-01,Q,63
17,2011-09-01,R,49
18,2011-09-01,S,65
19,2011-09-01,T,59
20,2011-09-01,U,49
21,2011-09-01,V,63
22,2011-09-01,W,57
23,2011-09-01,X,49
24,2011-09-02,A,54
25,2011-09-02,B,36
26,2011-09-02,C,38
27,2011-09-02,D,18
28,2011-09-02,E,11
29,2011-09-02,F,9
30,2011-09-02,G,21
31,2011-09-02,H,27
32,2011-09-02,I,26
33,2011-09-02,J,44
34,2011-09-02,K,44
35,2011-09-02,L,41
36,2011-09-02,M,66
37,2011-09-02,N,42
38,2011-09-02,O,52
39,2011-09-02,P,57
40,2011-09-02,Q,60
41,2011-09-02,R,69
42,2011-09-02,S,58
43,2011-09-02,T,61
44,2011-09-02,U,58
45,2011-09-02,V,66
46,2011-09-02,W,55
47,2011-09-02,X,75
48,2011-09-03,A,67
49,2011-09-03,B,42
50,2011-09-03,C,49
51,2011-09-03,D,38
52,2011-09-03,E,29
53,2011-09-03,F,23
54,2011-09-03,G,23
55,2011-09-03,H,18
56,2011-09-03,I,32
57,2011-09-03,J,43
58,2011-09-03,K,45
59,2011-09-03,L,39
60,2011-09-03,M,46
61,2011-09-03,N,34
62,2011-09-03,O,44
63,2011-09-03,P,47
64,2011-09-03,Q,40
65,2011-09-03,R,46
66,2011-09-03,S,34
67,2011-09-03,T,46
68,2011-09-03,U,50
69,2011-09-03,V,58
70,2011-09-03,W,51
71,2011-09-03,X,52
72,2011-09-04,A,55
73,2011-09-04,B,46
74,2011-09-04,C,45
75,2011-09-04,D,48
76,2011-09-04,E,29
77,2011-09-04,F,11
78,2011-09-04,G,10
79,2011-09-04,H,16
80,2011-09-04,I,9
81,2011-09-04,J,31
82,2011-09-04,K,42
83,2011-09-04,L,36
84,2011-09-04,M,49
85,2011-09-04,N,41
86,2011-09-04,O,56
87,2011-09-04,P,50
88,2011-09-04,Q,43
89,2011-09-04,R,60
90,2011-09-04,S,37
91,2011-09-04,T,48
92,2011-09-04,U,51
93,2011-09-04,V,49
94,2011-09-04,W,69
95,2011-09-04,X,40
96,2011-09-05,A,72
97,2011-09-05,B,39
98,2011-09-05,C,29
99,2011-09-05,D,23
100,2011-09-05,E,23
101,2011-09-05,F,12
102,2011-09-05,G,11
103,2011-09-05,H,12
104,2011-09-05,I,19
105,2011-09-05,J,30
106,2011-09-05,K,35
107,2011-09-05,L,40
108,2011-09-05,M,45
109,2011-09-05,N,39
110,2011-09-05,O,38
111,2011-09-05,P,62
112,2011-09-05,Q,44
113,2011-09-05,R,40
114,2011-09-05,S,61
115,2011-09-05,T,49
116,2011-09-05,U,48
117,2011-09-05,V,57
118,2011-09-05,W,65
119,2011-09-05,X,41
120,2011-09-06,A,40
121,2011-09-06,B,27
122,2011-09-06,C,16
123,2011-09-06,D,13
124,2011-09-06,E,4
125,2011-09-06,F,10
126,2011-09-06,G,14
127,2011-09-06,H,25
128,2011-09-06,I,37
129,2011-09-06,J,56
130,2011-09-06,K,47
131,2011-09-06,L,40
132,2011-09-06,M,66
133,2011-09-06,N,51
134,2011-09-06,O,52
135,2011-09-06,P,46
136,2011-09-06,Q,57
137,2011-09-06,R,49
138,2011-09-06,S,48
139,2011-09-06,T,44
140,2011-09-06,U,55
141,2011-09-06,V,51
142,2011-09-06,W,53
143,2011-09-06,X,41
144,2011-09-07,A,53
145,2011-09-07,B,19
146,2011-09-07,C,19
147,2011-09-07,D,14
148,2011-09-07,E,8
149,2011-09-07,F,10
150,2011-09-07,G,13
151,2011-09-07,H,40
152,2011-09-07,I,57
153,2011-09-07,J,58
154,2011-09-07,K,45
155,2011-09-07,L,52
156,2011-09-07,M,63
157,2011-09-07,N,33
158,2011-09-07,O,51
159,2011-09-07,P,50
160,2011-09-07,Q,54
161,2011-09-07,R,50
162,2011-09-07,S,62
163,2011-09-07,T,50
164,2011-09-07,U,62
165,2011-09-07,V,44
166,2011-09-07,W,42
167,2011-09-07,X,43
168,2011-09-08,A,44
169,2011-09-08,B,37
170,2011-09-08,C,18
171,2011-09-08,D,13
172,2011-09-08,E,8
173,2011-09-08,F,9
174,2011-09-08,G,14
175,2011-09-08,H,24
176,2011-09-08,I,40
177,2011-09-08,J,45
178,2011-09-08,K,44
179,2011-09-08,L,31
180,2011-09-08,M,60
181,2011-09-08,N,59
182,2011-09-08,O,62
183,2011-09-08,P,51
184,2011-09-08,Q,52
185,2011-09-08,R,48
186,2011-09-08,S,47
187,2011-09-08,T,49
188,2011-09-08,U,47
189,2011-09-08,V,45
190,2011-09-08,W,52
191,2011-09-08,X,35
192,2011-09-09,A,54
193,2011-09-09,B,26
194,2011-09-09,C,18
195,2011-09-09,D,15
196,2011-09-09,E,14
197,2011-09-09,F,14
198,2011-09-09,G,21
199,2011-09-09,H,39
200,2011-09-09,I,51
201,2011-09-09,J,55
202,2011-09-09,K,40
203,2011-09-09,L,51
204,2011-09-09,M,47
205,2011-09-09,N,46
206,2011-09-09,O,44
207,2011-09-09,P,61
208,2011-09-09,Q,81
