Community,Year,Total,asian,Black,hispanic,white,other 
1,2008,57559,3876,15662,14280,21819,1922
2,2008,73705,17078,7683,15260,31779,1905
3,2008,54995,6402,11062,7010,28769,1752
4,2008,38622,4015,1764,7483,24332,1028
5,2008,33418,1392,473,4376,26348,829
6,2008,96539,6661,3567,7268,77037,2006
7,2008,64631,3712,2731,4238,52663,1287
8,2008,80516,8731,7625,4491,57777,1892
9,2008,11135,242,  -,500,10265,128
10,2008,37429,1706,311,4935,30115,362
11,2008,26771,2518,369,5343,18075,466
12,2008,18542,2207,300,2408,13354,273
13,2008,18739,5178,314,3428,9358,461
14,2008,53897,6710,2177,28257,15844,909
15,2008,63619,2715,811,26388,32429,1276
16,2008,56513,4004,1668,25449,24229,1163
17,2008,42115,1617,426,9706,29975,391
18,2008,12401,552,524,6408,4780,137
19,2008,77885,993,3822,59975,11897,1198
20,2008,25068,111,196,22612,1974,175
21,2008,41542,1289,1110,27177,11010,956
22,2008,73786,2061,4710,35140,30665,1210
23,2008,54351,147,22680,27823,3009,692
24,2008,84087,3310,7106,24074,48007,1590
25,2008,98162,351,83844,8756,4463,748
26,2008,19377,18,18764,240,274,81
27,2008,21316,92,20043,368,662,151
28,2008,54151,7976,17319,4795,22669,1392
29,2008,36074,72,33151,1800,797,254
30,2008,70557,115,7856,59370,3065,151
31,2008,36577,367,1175,30053,4562,420
32,2008,26363,4362,3139,1452,16716,694
33,2008,20245,3692,5585,1260,9143,565
34,2008,13710,9179,1680,644,1537,670
35,2008,19111,2335,13699,570,2271,236
36,2008,6260,57,5769,229,180,25
37,2008,2924,11,2678,158,66,11
38,2008,23151,60,21091,698,944,358
39,2008,18180,1065,12840,749,3159,367
40,2008,11146,9,10882,132,20,103
41,2008,26541,2847,8851,1578,12446,819
42,2008,24445,544,21283,543,1675,400
43,2008,47526,85,44885,685,717,1154
44,2008,33244,23,32416,158,178,469
45,2008,9617,34,9296,29,168,90
46,2008,29458,86,21206,6962,927,277
47,2008,3508,  -,3488,  -,20,  -
48,2008,14382,14,13487,601,195,85
49,2008,45285,217,43581,357,503,627
50,2008,7262,39,6131,549,522,21
51,2008,16445,49,10022,5198,891,285
52,2008,23517,101,636,18602,4091,87
53,2008,30810,  -,28797,1388,390,235
54,2008,6820,  -,6678,136,  -,6
55,2008,10168,17,933,5169,3977,72
56,2008,33940,633,1964,13184,17958,201
57,2008,13434,212,212,9932,3002,76
58,2008,44148,2718,568,37203,3625,34
59,2008,16434,2641,489,10192,2978,134
60,2008,32430,10772,635,9264,10761,998
61,2008,42107,563,12647,22513,5783,601
62,2008,18980,322,405,14811,3370,72
63,2008,39492,400,1745,35456,1872,19
64,2008,22716,184,121,10460,11775,176
65,2008,32950,95,1041,26078,5514,222
66,2008,54807,439,29311,22881,1900,276
67,2008,35294,41,33477,904,429,443
68,2008,28824,13,28076,275,170,290
69,2008,32873,25,31659,451,324,414
70,2008,42788,121,22047,13148,7152,320
71,2008,49634,77,48680,484,135,258
72,2008,21226,61,7366,1092,12358,349
73,2008,26021,2,25390,189,257,183
74,2008,18475,169,937,937,16318,114
75,2008,22681,124,14511,519,7175,352
76,2008,13687,1158,200,1878,10087,364
77,2008,55333,6733,8114,9019,29573,1894
1,2009,57165,3450,15461,14189,22304,1761
2,2009,73305,17702,7529,13994,31630,2450
3,2009,54449,5803,10796,6627,29312,1911
4,2009,38667,4513,1793,6333,24949,1079
5,2009,34534,1270,639,4962,26755,908
6,2009,96541,6310,3245,7294,77336,2356
7,2009,65889,3330,2766,4665,53706,1422
8,2009,83215,8762,8217,4853,59441,1942
9,2009,10884,258, -,686,9834,106
10,2009,36988,1471,363,5419,29171,564
11,2009,27212,2689,344,5682,18061,436
12,2009,18710,2356,153,2213,13734,254
13,2009,19218,5402,381,3457,9531,447
14,2009,54018,7324,2147,27953,15392,1202
15,2009,63594,2461,757,27363,31867,1146
16,2009,56841,3984,1536,26387,23748,1186
17,2009,42405,1471,463,10439,29642,390
18,2009,12283,912,519,6324,4387,141
19,2009,78279,938,3323,61516,11658,844
20,2009,25265,149,332,22750,1842,192
