,Community,year,Count
7,1,2010,13
8,1,2011,25
9,1,2012,13
10,1,2013,13
11,1,2014,2
12,1,2015,11
13,1,2016,1
14,1,2017,3
15,1,2018,12
16,2,2009,1
17,2,2010,14
18,2,2011,73
19,2,2012,51
20,2,2013,25
21,2,2014,12
22,2,2015,11
23,2,2016,10
24,2,2017,5
25,2,2018,8
26,3,2010,9
27,3,2011,44
28,3,2012,26
29,3,2013,18
30,3,2014,9
31,3,2015,7
32,3,2016,4
33,3,2017,1
34,3,2018,2
35,4,2010,22
36,4,2011,38
37,4,2012,31
38,4,2013,21
39,4,2014,13
40,4,2015,7
41,4,2016,3
42,4,2018,12
43,5,2010,24
44,5,2011,35
45,5,2012,46
46,5,2013,6
47,5,2014,15
48,5,2015,9
49,5,2016,6
50,5,2017,9
51,5,2018,7
52,6,2009,1
53,6,2010,24
54,6,2011,50
55,6,2012,26
56,6,2013,25
57,6,2014,15
58,6,2015,13
59,6,2016,12
60,6,2017,2
61,6,2018,8
62,7,2009,1
63,7,2010,24
64,7,2011,56
65,7,2012,36
66,7,2013,13
67,7,2014,11
68,7,2015,13
69,7,2016,8
70,7,2017,5
71,7,2018,10
72,8,2010,7
73,8,2011,44
74,8,2012,16
75,8,2013,6
76,8,2014,6
77,8,2015,6
78,8,2016,4
79,8,2017,4
80,8,2018,9
81,9,2010,3
82,9,2011,14
83,9,2012,6
84,9,2014,1
85,9,2015,2
86,9,2016,1
87,9,2018,3
88,10,2010,21
89,10,2011,38
90,10,2012,35
91,10,2013,22
92,10,2014,10
93,10,2015,14
94,10,2016,7
95,10,2017,5
96,10,2018,8
97,11,2009,1
98,11,2010,9
99,11,2011,27
100,11,2012,24
101,11,2013,20
102,11,2014,14
103,11,2015,12
104,11,2016,3
105,11,2017,3
106,11,2018,5
107,12,2009,1
108,12,2010,9
109,12,2011,11
110,12,2012,10
111,12,2013,6
112,12,2014,8
113,12,2015,5
114,12,2016,2
115,12,2017,3
116,13,2010,2
117,13,2011,16
118,13,2012,9
119,13,2013,8
120,13,2014,2
121,13,2015,3
122,13,2016,3
123,13,2017,1
124,13,2018,2
125,14,2010,13
126,14,2011,37
127,14,2012,51
128,14,2013,31
129,14,2014,17
130,14,2015,23
131,14,2016,12
132,14,2017,8
133,14,2018,13
134,15,2009,1
135,15,2010,29
136,15,2011,96
137,15,2012,76
138,15,2013,26
139,15,2014,20
140,15,2015,40
141,15,2016,16
142,15,2017,11
143,15,2018,26
144,16,2010,25
145,16,2011,76
146,16,2012,67
147,16,2013,43
148,16,2014,37
149,16,2015,29
150,16,2016,20
151,16,2017,11
152,16,2018,20
153,17,2009,2
154,17,2010,36
155,17,2011,65
156,17,2012,55
157,17,2013,43
158,17,2014,24
159,17,2015,29
160,17,2016,11
161,17,2017,10
162,17,2018,6
163,18,2010,7
164,18,2011,23
165,18,2012,22
166,18,2013,15
167,18,2014,7
168,18,2015,2
169,18,2016,3
170,18,2017,4
171,18,2018,6
172,19,2009,1
173,19,2010,60
174,19,2011,194
175,19,2012,171
176,19,2013,130
177,19,2014,45
178,19,2015,57
179,19,2016,22
180,19,2017,27
181,19,2018,14
182,20,2009,1
183,20,2010,11
184,20,2011,88
185,20,2012,30
186,20,2013,29
187,20,2014,30
188,20,2015,11
189,20,2016,4
190,20,2017,7
191,20,2018,12
192,21,2010,40
193,21,2011,99
194,21,2012,75
195,21,2013,81
196,21,2014,50
197,21,2015,31
198,21,2016,22
199,21,2017,6
200,21,2018,13
201,22,2009,9
202,22,2010,64
203,22,2011,205
204,22,2012,138
205,22,2013,80
206,22,2014,66
207,22,2015,46
208,22,2016,27
209,22,2017,18
210,22,2018,19
211,23,2008,1
212,23,2009,7
213,23,2010,193
214,23,2011,561
215,23,2012,587
216,23,2013,359
217,23,2014,209
218,23,2015,141
219,23,2016,85
220,23,2017,114
221,23,2018,68
222,24,2009,4
223,24,2010,71
224,24,2011,185
225,24,2012,141
226,24,2013,84
227,24,2014,53
228,24,2015,39
229,24,2016,37
230,24,2017,19
231,24,2018,22
232,25,2008,1
233,25,2009,14
234,25,2010,213
235,25,2011,1155
236,25,2012,790
237,25,2013,535
238,25,2014,310
239,25,2015,210
240,25,2016,158
241,25,2017,121
242,25,2018,132
243,26,2008,1
244,26,2009,2
245,26,2010,110
246,26,2011,531
247,26,2012,397
248,26,2013,289
249,26,2014,145
250,26,2015,114
251,26,2016,82
252,26,2017,91
253,26,2018,71
254,27,2008,2
255,27,2009,9
256,27,2010,69
257,27,2011,411
258,27,2012,288
259,27,2013,217
260,27,2014,105
261,27,2015,73
262,27,2016,71
263,27,2017,58
264,27,2018,55
265,28,2009,1
266,28,2010,39
267,28,2011,147
268,28,2012,70
269,28,2013,67
270,28,2014,29
271,28,2015,23
272,28,2016,19
273,28,2017,19
274,28,2018,20
275,29,2009,10
276,29,2010,176
277,29,2011,566
278,29,2012,545
279,29,2013,345
280,29,2014,181
281,29,2015,109
282,29,2016,89
283,29,2017,109
284,29,2018,129
285,30,2009,1
286,30,2010,32
287,30,2011,226
288,30,2012,163
289,30,2013,104
290,30,2014,53
291,30,2015,46
292,30,2016,38
293,30,2017,38
294,30,2018,40
295,31,2009,3
296,31,2010,10
297,31,2011,117
298,31,2012,88
299,31,2013,53
300,31,2014,27
301,31,2015,34
302,31,2016,38
303,31,2017,18
304,31,2018,19
305,32,2010,4
306,32,2011,12
307,32,2012,1
308,32,2013,7
309,32,2014,6
310,32,2015,1
311,32,2016,1
312,32,2018,1
313,33,2011,17
314,33,2012,10
315,33,2013,8
316,33,2014,5
317,33,2015,3
318,33,2018,4
