,Community,month,year,Street_lights
0,0,4,2011,1
1,0,6,2013,1
2,0,6,2014,1
3,0,7,2012,1
4,0,7,2014,1
5,0,7,2017,1
6,0,8,2014,1
7,0,11,2012,1
8,0,11,2016,1
9,0,12,2011,1
10,0,12,2015,1
11,1,1,2010,1
12,1,1,2011,2
13,1,1,2012,1
14,1,1,2013,1
15,1,1,2015,1
16,1,2,2011,1
17,1,2,2012,1
18,1,2,2013,3
19,1,2,2015,2
20,1,2,2017,1
21,1,2,2018,1
22,1,3,2011,3
23,1,3,2012,2
24,1,3,2013,2
25,1,3,2017,1
26,1,3,2018,1
27,1,4,2011,3
28,1,4,2012,3
29,1,4,2014,1
30,1,4,2015,2
31,1,4,2017,1
32,1,4,2018,2
33,1,5,2011,4
34,1,5,2013,4
35,1,5,2015,1
36,1,5,2018,1
37,1,6,2011,2
38,1,6,2015,1
39,1,6,2018,1
40,1,7,2010,3
41,1,7,2011,4
42,1,7,2012,1
43,1,7,2015,1
44,1,7,2018,2
45,1,8,2011,2
46,1,8,2012,2
47,1,8,2013,2
48,1,8,2014,1
49,1,8,2015,1
50,1,9,2010,4
51,1,9,2011,3
52,1,9,2018,3
53,1,10,2010,1
54,1,10,2012,1
55,1,10,2013,1
56,1,10,2018,1
57,1,11,2010,2
58,1,11,2015,2
59,1,12,2010,2
60,1,12,2011,1
61,1,12,2012,2
62,1,12,2016,1
63,2,1,2011,2
64,2,1,2012,1
65,2,1,2013,3
66,2,1,2014,1
67,2,1,2016,1
68,2,1,2018,2
69,2,2,2011,3
70,2,2,2012,2
71,2,2,2013,1
72,2,2,2015,2
73,2,2,2016,2
74,2,3,2010,1
75,2,3,2011,4
76,2,3,2012,6
77,2,3,2013,4
78,2,3,2015,1
79,2,3,2017,3
80,2,4,2011,19
81,2,4,2012,3
82,2,4,2013,3
83,2,4,2014,1
84,2,4,2016,1
85,2,4,2018,1
86,2,5,2010,1
87,2,5,2011,9
88,2,5,2012,6
89,2,5,2013,3
90,2,5,2015,1
91,2,5,2016,1
92,2,6,2011,11
93,2,6,2012,4
94,2,6,2013,6
95,2,6,2015,1
96,2,6,2016,2
97,2,6,2018,1
98,2,7,2010,3
99,2,7,2011,4
100,2,7,2012,7
101,2,7,2014,4
102,2,7,2017,1
103,2,7,2018,3
104,2,8,2011,8
105,2,8,2012,8
106,2,8,2015,1
107,2,8,2016,1
108,2,8,2017,1
109,2,9,2010,3
110,2,9,2011,1
111,2,9,2012,6
112,2,9,2014,3
113,2,10,2010,5
114,2,10,2011,5
115,2,10,2012,3
116,2,10,2013,1
117,2,10,2014,1
118,2,10,2015,3
119,2,10,2018,1
120,2,11,2009,1
121,2,11,2010,1
122,2,11,2011,6
123,2,11,2012,1
124,2,11,2013,3
125,2,12,2011,1
126,2,12,2012,4
127,2,12,2013,1
128,2,12,2014,2
129,2,12,2015,2
130,2,12,2016,2
131,3,1,2011,2
132,3,1,2012,1
133,3,1,2013,1
134,3,1,2015,1
135,3,2,2012,2
136,3,2,2013,3
137,3,2,2015,1
138,3,2,2017,1
139,3,3,2011,1
140,3,3,2012,4
141,3,3,2013,1
142,3,3,2014,1
143,3,4,2011,3
144,3,4,2015,1
145,3,5,2011,6
146,3,5,2013,1
147,3,5,2014,2
148,3,5,2015,1
149,3,6,2010,1
150,3,6,2011,5
151,3,6,2012,6
