,Community,year,Count
9,1,2010,91
10,1,2011,3228
11,1,2012,1690
12,1,2013,1956
13,1,2014,1656
14,1,2015,1751
15,1,2016,1455
16,1,2017,1463
17,1,2018,1329
18,2,1954,2
19,2,2010,76
20,2,2011,2091
21,2,2012,2186
22,2,2013,3120
23,2,2014,3352
24,2,2015,3417
25,2,2016,2392
26,2,2017,1591
27,2,2018,969
28,3,2010,150
29,3,2011,2283
30,3,2012,1696
31,3,2013,1588
32,3,2014,1772
33,3,2015,2201
34,3,2016,1833
35,3,2017,1853
36,3,2018,1965
37,4,2010,89
38,4,2011,2127
39,4,2012,1753
40,4,2013,2756
41,4,2014,3524
42,4,2015,3387
43,4,2016,3983
44,4,2017,3426
45,4,2018,3432
46,5,1954,2
47,5,2009,2
48,5,2010,64
49,5,2011,2514
50,5,2012,2026
51,5,2013,2660
52,5,2014,2797
53,5,2015,3233
54,5,2016,3455
55,5,2017,3465
56,5,2018,3706
57,6,1932,2
58,6,2006,2
59,6,2010,75
60,6,2011,3261
61,6,2012,2513
62,6,2013,4179
63,6,2014,4356
64,6,2015,3996
65,6,2016,4437
66,6,2017,4432
67,6,2018,4239
68,7,1932,18
69,7,2010,26
70,7,2011,2485
71,7,2012,2360
72,7,2013,2333
73,7,2014,2197
74,7,2015,2794
75,7,2016,2229
76,7,2017,2918
77,7,2018,2857
78,8,2010,19
79,8,2011,2392
80,8,2012,1266
81,8,2013,2514
82,8,2014,1831
83,8,2015,1712
84,8,2016,1521
85,8,2017,1839
86,8,2018,1603
87,9,2011,53
88,9,2012,35
89,9,2013,32
90,9,2014,30
91,9,2015,21
92,9,2016,62
93,9,2017,15
94,9,2018,57
95,10,2011,330
96,10,2012,512
97,10,2013,267
98,10,2014,125
99,10,2015,92
100,10,2016,140
101,10,2017,174
102,10,2018,287
103,11,1954,2
104,11,2010,1
105,11,2011,550
106,11,2012,787
107,11,2013,514
108,11,2014,744
109,11,2015,451
110,11,2016,303
111,11,2017,494
112,11,2018,335
113,12,1954,2
114,12,2011,168
115,12,2012,230
116,12,2013,196
117,12,2014,234
118,12,2015,240
119,12,2016,165
120,12,2017,178
121,12,2018,203
122,13,1954,2
123,13,2010,7
124,13,2011,562
125,13,2012,446
126,13,2013,901
127,13,2014,883
128,13,2015,971
129,13,2016,870
130,13,2017,674
131,13,2018,479
132,14,1954,14
133,14,2010,49
134,14,2011,3820
135,14,2012,2493
136,14,2013,3646
137,14,2014,4029
138,14,2015,3937
139,14,2016,3919
140,14,2017,2778
141,14,2018,2349
142,15,2010,110
143,15,2011,3580
144,15,2012,3381
145,15,2013,3812
146,15,2014,3011
147,15,2015,2381
148,15,2016,2012
149,15,2017,2197
150,15,2018,1191
151,16,1942,4
152,16,2005,1
153,16,2010,71
154,16,2011,6401
155,16,2012,4410
156,16,2013,5156
157,16,2014,4617
158,16,2015,5046
159,16,2016,4420
160,16,2017,3298
161,16,2018,2702
162,17,2010,25
163,17,2011,777
164,17,2012,738
165,17,2013,735
166,17,2014,753
167,17,2015,1569
168,17,2016,666
169,17,2017,562
170,17,2018,427
171,18,2010,8
172,18,2011,505
173,18,2012,268
174,18,2013,282
175,18,2014,323
176,18,2015,475
177,18,2016,282
178,18,2017,274
179,18,2018,272
180,19,1932,2
181,19,2010,192
182,19,2011,8523
183,19,2012,6612
184,19,2013,6627
185,19,2014,6235
186,19,2015,5514
187,19,2016,3948
188,19,2017,2759
189,19,2018,2156
190,20,2010,69
191,20,2011,2223
192,20,2012,1958
193,20,2013,2482
194,20,2014,1802
195,20,2015,1389
196,20,2016,1428
197,20,2017,988
198,20,2018,903
199,21,1930,4
200,21,1954,2
201,21,2004,1
202,21,2010,102
203,21,2011,5350
204,21,2012,5042
205,21,2013,6271
206,21,2014,4820
207,21,2015,4825
208,21,2016,5577
209,21,2017,4479
210,21,2018,3922
211,22,2004,1
212,22,2010,188
213,22,2011,8883
214,22,2012,7940
215,22,2013,9928
216,22,2014,9314
217,22,2015,8962
218,22,2016,8125
219,22,2017,7567
220,22,2018,7505
221,23,2010,51
222,23,2011,2192
223,23,2012,2016
224,23,2013,2290
225,23,2014,2096
226,23,2015,1724
227,23,2016,1960
228,23,2017,1785
229,23,2018,1662
230,24,2001,2
231,24,2010,120
232,24,2011,9463
233,24,2012,7434
234,24,2013,10466
235,24,2014,9953
236,24,2015,8852
237,24,2016,9489
238,24,2017,9645
239,24,2018,8097
240,25,2010,8
241,25,2011,1696
242,25,2012,801
243,25,2013,866
244,25,2014,803
245,25,2015,1034
246,25,2016,782
247,25,2017,987
248,25,2018,772
249,26,2010,3
250,26,2011,248
251,26,2012,188
252,26,2013,357
253,26,2014,144
254,26,2015,237
255,26,2016,174
256,26,2017,152
257,26,2018,275
258,27,2010,3
259,27,2011,406
260,27,2012,295
261,27,2013,545
262,27,2014,310
263,27,2015,346
264,27,2016,245
265,27,2017,303
266,27,2018,425
267,28,2007,1
268,28,2010,9
269,28,2011,2762
270,28,2012,2179
271,28,2013,3329
272,28,2014,2828
273,28,2015,2956
274,28,2016,2529
275,28,2017,3092
276,28,2018,3016
277,29,2010,5
278,29,2011,960
279,29,2012,629
280,29,2013,911
281,29,2014,837
282,29,2015,637
283,29,2016,495
284,29,2017,660
285,29,2018,737
286,30,1927,16
287,30,2004,1
288,30,2008,1
289,30,2010,102
290,30,2011,14515
291,30,2012,11165
292,30,2013,10859
293,30,2014,9220
294,30,2015,5446
295,30,2016,4795
296,30,2017,6014
297,30,2018,4760
298,31,2010,49
299,31,2011,9249
300,31,2012,7601
301,31,2013,7145
302,31,2014,7416
303,31,2015,6615
304,31,2016,5016
305,31,2017,5778
306,31,2018,4807
307,32,2009,2
308,32,2010,5
309,32,2011,1657
310,32,2012,1240
311,32,2013,3124
312,32,2014,2365
313,32,2015,2225
314,32,2016,1831
315,32,2017,2380
316,32,2018,1930
317,33,2011,503
318,33,2012,560
319,33,2013,658
320,33,2014,523
321,33,2015,438
322,33,2016,398
323,33,2017,336
324,33,2018,320
325,34,2008,2
326,34,2011,537
327,34,2012,538
328,34,2013,676
329,34,2014,575
330,34,2015,581
331,34,2016,688
332,34,2017,607
333,34,2018,547
334,35,2011,39
335,35,2012,91
336,35,2013,129
337,35,2014,188
338,35,2015,81
339,35,2016,63
340,35,2017,141
341,35,2018,100
342,36,2011,34
343,36,2012,42
344,36,2013,26
345,36,2014,11
346,36,2015,15
347,36,2016,12
348,36,2017,19
349,36,2018,36
350,37,2011,39
351,37,2012,42
352,37,2013,89
353,37,2014,35
354,37,2015,65
355,37,2016,49
356,37,2017,61
357,37,2018,98
358,38,2011,100
359,38,2012,167
360,38,2013,282
361,38,2014,111
362,38,2015,178
363,38,2016,88
364,38,2017,149
365,38,2018,159
366,39,2011,61
367,39,2012,82
368,39,2013,101
369,39,2014,61
370,39,2015,79
371,39,2016,41
372,39,2017,63
373,39,2018,69
374,40,2011,49
375,40,2012,87
376,40,2013,161
377,40,2014,61
378,40,2015,46
379,40,2016,56
380,40,2017,46
381,40,2018,70
382,41,2010,2
383,41,2011,349
384,41,2012,223
385,41,2013,223
386,41,2014,127
387,41,2015,164
388,41,2016,227
389,41,2017,145
390,41,2018,167
391,42,2011,107
392,42,2012,152
393,42,2013,220
394,42,2014,105
395,42,2015,74
396,42,2016,99
397,42,2017,71
398,42,2018,67
399,43,2011,246
400,43,2012,373
401,43,2013,364
402,43,2014,297
403,43,2015,190
404,43,2016,199
405,43,2017,124
406,43,2018,101
407,44,2011,94
408,44,2012,115
409,44,2013,168
410,44,2014,76
411,44,2015,77
412,44,2016,95
413,44,2017,42
414,44,2018,35
415,45,2011,52
416,45,2012,62
417,45,2013,55
418,45,2014,46
419,45,2015,26
420,45,2016,38
421,45,2017,15
422,45,2018,31
423,46,2010,12
424,46,2011,1116
425,46,2012,882
426,46,2013,816
427,46,2014,641
428,46,2015,782
429,46,2016,723
430,46,2017,604
431,46,2018,265
432,47,2011,4
433,47,2012,4
434,47,2013,21
435,47,2014,17
436,47,2015,15
437,47,2016,41
438,47,2017,21
439,47,2018,7
440,48,2011,249
441,48,2012,171
442,48,2013,171
443,48,2014,116
444,48,2015,103
445,48,2016,86
446,48,2017,59
447,48,2018,36
448,49,2011,266
449,49,2012,174
450,49,2013,303
451,49,2014,245
452,49,2015,174
453,49,2016,228
454,49,2017,229
455,49,2018,123
456,50,2011,35
457,50,2012,32
458,50,2013,82
459,50,2014,53
460,50,2015,34
461,50,2016,38
462,50,2017,33
463,50,2018,4
464,51,2010,4
465,51,2011,886
466,51,2012,680
467,51,2013,468
468,51,2014,441
469,51,2015,245
470,51,2016,266
471,51,2017,170
472,51,2018,132
473,52,2010,18
474,52,2011,3495
475,52,2012,2298
476,52,2013,1414
477,52,2014,1064
478,52,2015,1007
479,52,2016,839
480,52,2017,756
481,52,2018,332
482,53,2011,176
483,53,2012,305
484,53,2013,245
485,53,2014,167
486,53,2015,143
487,53,2016,113
488,53,2017,97
489,53,2018,72
490,54,2011,14
491,54,2012,1
492,54,2013,10
493,54,2014,9
494,54,2015,31
495,54,2016,14
496,54,2017,5
497,54,2018,2
498,55,2010,1
499,55,2011,510
500,55,2012,321
501,55,2013,280
502,55,2014,105
503,55,2015,255
504,55,2016,172
505,55,2017,110
506,55,2018,53
507,56,1944,6
508,56,2010,2
509,56,2011,1901
510,56,2012,2079
511,56,2013,2379
512,56,2014,1604
513,56,2015,1208
514,56,2016,1417
515,56,2017,789
516,56,2018,861
517,57,1944,2
518,57,2010,9
519,57,2011,3575
520,57,2012,4031
521,57,2013,4315
522,57,2014,3275
523,57,2015,2669
524,57,2016,2905
525,57,2017,2250
526,57,2018,1681
527,58,1926,4
528,58,1944,4
529,58,2010,61
530,58,2011,7816
531,58,2012,7536
532,58,2013,8180
533,58,2014,7560
534,58,2015,5601
535,58,2016,6181
536,58,2017,5217
537,58,2018,4379
538,59,1944,4
539,59,2010,4
540,59,2011,3427
541,59,2012,3996
542,59,2013,4876
543,59,2014,3799
544,59,2015,3710
545,59,2016,3551
546,59,2017,4428
547,59,2018,3587
548,60,2010,3
549,60,2011,1952
550,60,2012,2872
551,60,2013,4028
552,60,2014,2423
553,60,2015,1754
554,60,2016,1855
555,60,2017,1922
556,60,2018,1594
557,61,2010,10
558,61,2011,2980
559,61,2012,2928
560,61,2013,2697
561,61,2014,2662
562,61,2015,2496
563,61,2016,2128
564,61,2017,1875
565,61,2018,1782
566,62,2010,4
567,62,2011,2967
568,62,2012,3053
569,62,2013,1974
570,62,2014,2038
571,62,2015,2015
572,62,2016,2929
573,62,2017,2303
574,62,2018,1343
575,63,1926,13
576,63,2010,11
577,63,2011,5575
578,63,2012,5831
579,63,2013,5768
580,63,2014,5555
581,63,2015,4659
582,63,2016,4523
583,63,2017,3486
584,63,2018,2822
585,64,2011,682
586,64,2012,1024
587,64,2013,585
588,64,2014,349
589,64,2015,393
590,64,2016,246
591,64,2017,368
592,64,2018,229
593,65,1926,12
594,65,1944,6
595,65,2007,1
596,65,2010,9
597,65,2011,2896
598,65,2012,2765
599,65,2013,1709
600,65,2014,1491
601,65,2015,1636
602,65,2016,2645
603,65,2017,1720
604,65,2018,752
605,66,1926,6
606,66,2010,9
607,66,2011,2806
608,66,2012,3144
609,66,2013,2931
610,66,2014,2887
611,66,2015,2641
612,66,2016,2272
613,66,2017,1999
614,66,2018,1326
615,67,2011,355
616,67,2012,284
617,67,2013,477
618,67,2014,299
619,67,2015,359
620,67,2016,444
621,67,2017,397
622,67,2018,515
623,68,1944,2
624,68,2011,308
625,68,2012,191
626,68,2013,474
627,68,2014,189
628,68,2015,195
629,68,2016,156
630,68,2017,188
631,68,2018,225
632,69,2011,192
633,69,2012,161
634,69,2013,274
635,69,2014,98
636,69,2015,90
637,69,2016,69
638,69,2017,74
639,69,2018,112
640,70,2010,7
641,70,2011,949
642,70,2012,1193
643,70,2013,1760
644,70,2014,952
645,70,2015,947
646,70,2016,1873
647,70,2017,1408
648,70,2018,714
649,71,2011,211
650,71,2012,225
651,71,2013,233
652,71,2014,170
653,71,2015,162
654,71,2016,229
655,71,2017,274
656,71,2018,369
657,72,1926,2
658,72,2011,96
659,72,2012,70
660,72,2013,74
661,72,2014,90
662,72,2015,120
663,72,2016,94
664,72,2017,44
665,72,2018,157
666,73,2011,55
667,73,2012,57
668,73,2013,59
669,73,2014,87
670,73,2015,79
671,73,2016,58
672,73,2017,71
673,73,2018,183
674,74,2011,24
675,74,2012,110
676,74,2013,48
677,74,2014,50
678,74,2015,180
679,74,2016,205
680,74,2017,128
681,74,2018,159
682,75,2011,52
683,75,2012,48
684,75,2013,47
685,75,2014,52
686,75,2015,67
687,75,2016,91
688,75,2017,32
689,75,2018,96
690,76,2011,69
691,76,2012,24
692,76,2013,78
693,76,2014,36
694,76,2015,302
695,76,2016,159
696,76,2017,50
697,76,2018,61
698,77,2010,69
699,77,2011,1836
700,77,2012,1582
701,77,2013,1872
702,77,2014,1430
703,77,2015,1709
704,77,2016,1220
705,77,2017,1591
706,77,2018,1396
