,Community Area,year,Count
9,1,2010,9
10,1,2011,313
11,1,2012,201
12,1,2013,180
13,1,2014,342
14,1,2015,509
15,1,2016,559
16,1,2017,391
17,1,2018,487
18,2,2010,7
19,2,2011,577
20,2,2012,530
21,2,2013,447
22,2,2014,921
23,2,2015,1153
24,2,2016,1223
25,2,2017,855
26,2,2018,845
27,3,2010,7
28,3,2011,345
29,3,2012,154
30,3,2013,173
31,3,2014,308
32,3,2015,566
33,3,2016,601
34,3,2017,493
35,3,2018,569
36,4,2010,3
37,4,2011,296
38,4,2012,189
39,4,2013,201
40,4,2014,531
41,4,2015,540
42,4,2016,815
43,4,2017,698
44,4,2018,539
45,5,2010,20
46,5,2011,338
47,5,2012,202
48,5,2013,183
49,5,2014,420
50,5,2015,921
51,5,2016,836
52,5,2017,927
53,5,2018,798
54,6,2010,57
55,6,2011,534
56,6,2012,363
57,6,2013,374
58,6,2014,716
59,6,2015,1150
60,6,2016,1289
61,6,2017,1022
62,6,2018,860
63,7,2010,40
64,7,2011,473
65,7,2012,322
66,7,2013,289
67,7,2014,641
68,7,2015,904
69,7,2016,1145
70,7,2017,1036
71,7,2018,999
72,8,2010,30
73,8,2011,263
74,8,2012,367
75,8,2013,248
76,8,2014,645
77,8,2015,1060
78,8,2016,1030
79,8,2017,796
80,8,2018,804
81,9,2010,6
82,9,2011,236
83,9,2012,117
84,9,2013,101
85,9,2014,327
86,9,2015,298
87,9,2016,400
88,9,2017,259
89,9,2018,282
90,10,2010,24
91,10,2011,938
92,10,2012,508
93,10,2013,282
94,10,2014,804
95,10,2015,1731
96,10,2016,1185
97,10,2017,1100
98,10,2018,985
99,11,2010,22
100,11,2011,414
101,11,2012,230
102,11,2013,240
103,11,2014,468
104,11,2015,606
105,11,2016,740
106,11,2017,702
107,11,2018,683
108,12,2010,11
109,12,2011,392
110,12,2012,270
111,12,2013,167
112,12,2014,433
113,12,2015,644
114,12,2016,730
115,12,2017,531
116,12,2018,631
117,13,2010,4
118,13,2011,179
119,13,2012,178
120,13,2013,113
121,13,2014,341
122,13,2015,374
123,13,2016,332
124,13,2017,339
125,13,2018,364
126,14,2010,3
127,14,2011,306
128,14,2012,232
129,14,2013,199
130,14,2014,366
131,14,2015,688
132,14,2016,506
133,14,2017,556
134,14,2018,541
135,15,2010,77
136,15,2011,1212
137,15,2012,709
138,15,2013,497
139,15,2014,1664
140,15,2015,2101
141,15,2016,2040
142,15,2017,1814
143,15,2018,1404
144,16,2010,24
145,16,2011,580
146,16,2012,496
147,16,2013,354
148,16,2014,985
149,16,2015,1246
150,16,2016,1155
151,16,2017,1102
152,16,2018,1231
153,17,2010,22
154,17,2011,997
155,17,2012,490
156,17,2013,338
157,17,2014,1184
158,17,2015,1573
159,17,2016,1237
160,17,2017,1292
161,17,2018,1170
162,18,2010,4
163,18,2011,261
164,18,2012,107
165,18,2013,88
166,18,2014,265
167,18,2015,419
168,18,2016,339
169,18,2017,379
170,18,2018,425
171,19,2010,29
172,19,2011,781
173,19,2012,675
174,19,2013,509
175,19,2014,1049
176,19,2015,1634
177,19,2016,1591
178,19,2017,1199
179,19,2018,1119
180,20,2010,9
181,20,2011,129
182,20,2012,140
183,20,2013,119
184,20,2014,296
185,20,2015,626
186,20,2016,599
187,20,2017,376
188,20,2018,449
189,21,2010,16
190,21,2011,470
191,21,2012,333
192,21,2013,210
193,21,2014,446
194,21,2015,855
195,21,2016,1121
196,21,2017,729
197,21,2018,892
198,22,2010,78
199,22,2011,635
200,22,2012,526
201,22,2013,386
202,22,2014,1118
203,22,2015,1742
204,22,2016,1817
205,22,2017,1447
206,22,2018,1434
207,23,2010,64
208,23,2011,872
209,23,2012,721
210,23,2013,379
211,23,2014,1234
212,23,2015,1640
213,23,2016,1803
214,23,2017,1481
215,23,2018,1346
216,24,2010,38
217,24,2011,722
218,24,2012,651
219,24,2013,556
220,24,2014,1290
221,24,2015,1966
222,24,2016,2576
223,24,2017,2329
224,24,2018,1682
225,25,2010,160
226,25,2011,1775
227,25,2012,1700
228,25,2013,945
229,25,2014,2500
230,25,2015,3464
231,25,2016,3436
232,25,2017,2958
233,25,2018,2669
234,26,2010,14
235,26,2011,263
236,26,2012,239
237,26,2013,203
238,26,2014,699
239,26,2015,1327
240,26,2016,1011
241,26,2017,852
242,26,2018,614
243,27,2010,26
244,27,2011,338
245,27,2012,271
246,27,2013,215
247,27,2014,852
248,27,2015,998
249,27,2016,750
250,27,2017,966
251,27,2018,622
252,28,2010,24
253,28,2011,484
254,28,2012,418
255,28,2013,534
256,28,2014,1218
257,28,2015,1670
258,28,2016,1625
259,28,2017,1244
260,28,2018,1041
261,29,2010,22
262,29,2011,491
263,29,2012,385
264,29,2013,370
265,29,2014,1280
266,29,2015,1827
267,29,2016,2090
268,29,2017,1453
269,29,2018,1320
270,30,2010,34
271,30,2011,805
272,30,2012,523
273,30,2013,440
274,30,2014,988
275,30,2015,1355
276,30,2016,1627
277,30,2017,1783
278,30,2018,1299
279,31,2010,23
280,31,2011,384
281,31,2012,299
282,31,2013,218
283,31,2014,791
284,31,2015,1199
285,31,2016,1512
286,31,2017,1339
287,31,2018,786
288,32,2010,27
289,32,2011,269
290,32,2012,291
291,32,2013,379
292,32,2014,542
293,32,2015,616
294,32,2016,915
295,32,2017,674
296,32,2018,452
297,33,2010,8
298,33,2011,94
299,33,2012,124
300,33,2013,75
301,33,2014,186
302,33,2015,324
303,33,2016,386
304,33,2017,290
305,33,2018,263
306,34,2010,5
307,34,2011,253
308,34,2012,104
309,34,2013,89
310,34,2014,337
311,34,2015,387
312,34,2016,432
313,34,2017,397
314,34,2018,177
315,35,2010,11
316,35,2011,86
317,35,2012,109
318,35,2013,95
319,35,2014,348
320,35,2015,366
321,35,2016,496
322,35,2017,368
323,35,2018,344
324,36,2011,27
325,36,2012,26
326,36,2013,31
327,36,2014,42
328,36,2015,135
329,36,2016,136
330,36,2017,129
331,36,2018,102
332,37,2010,3
333,37,2011,59
334,37,2012,68
335,37,2013,39
336,37,2014,92
337,37,2015,158
338,37,2016,154
339,37,2017,116
340,37,2018,97
341,38,2011,182
342,38,2012,113
343,38,2013,143
344,38,2014,399
345,38,2015,499
346,38,2016,523
347,38,2017,483
348,38,2018,443
349,39,2010,4
350,39,2011,83
351,39,2012,66
352,39,2013,49
353,39,2014,344
354,39,2015,308
355,39,2016,453
356,39,2017,253
357,39,2018,278
358,40,2010,8
359,40,2011,103
360,40,2012,105
361,40,2013,96
362,40,2014,436
363,40,2015,404
364,40,2016,827
365,40,2017,444
366,40,2018,414
367,41,2010,18
368,41,2011,168
369,41,2012,126
370,41,2013,142
371,41,2014,466
372,41,2015,461
373,41,2016,548
374,41,2017,491
375,41,2018,384
376,42,2010,18
377,42,2011,201
378,42,2012,270
379,42,2013,198
380,42,2014,626
381,42,2015,973
382,42,2016,1455
383,42,2017,975
384,42,2018,695
385,43,2010,37
386,43,2011,609
387,43,2012,541
388,43,2013,478
389,43,2014,1763
390,43,2015,2762
391,43,2016,2618
392,43,2017,1818
393,43,2018,1540
394,44,2010,60
395,44,2011,699
396,44,2012,592
397,44,2013,687
398,44,2014,1631
399,44,2015,2054
400,44,2016,2089
401,44,2017,1474
402,44,2018,1723
403,45,2010,25
404,45,2011,216
405,45,2012,305
406,45,2013,290
407,45,2014,550
408,45,2015,575
409,45,2016,1000
410,45,2017,679
411,45,2018,554
412,46,2010,22
413,46,2011,690
414,46,2012,484
415,46,2013,371
416,46,2014,1488
417,46,2015,2236
418,46,2016,1649
419,46,2017,1356
420,46,2018,1097
421,47,2010,1
422,47,2011,86
423,47,2012,64
424,47,2013,59
425,47,2014,81
426,47,2015,180
427,47,2016,191
428,47,2017,172
429,47,2018,326
430,48,2010,22
431,48,2011,556
432,48,2012,417
433,48,2013,345
434,48,2014,1226
435,48,2015,1117
436,48,2016,1176
437,48,2017,955
438,48,2018,755
439,49,2010,47
440,49,2011,1100
441,49,2012,860
442,49,2013,753
443,49,2014,2763
444,49,2015,3282
445,49,2016,3032
446,49,2017,2044
447,49,2018,2172
448,50,2010,2
449,50,2011,131
450,50,2012,135
451,50,2013,94
452,50,2014,287
453,50,2015,266
454,50,2016,403
455,50,2017,196
456,50,2018,224
457,51,2010,24
458,51,2011,426
459,51,2012,433
460,51,2013,278
461,51,2014,1012
462,51,2015,1475
463,51,2016,902
464,51,2017,624
465,51,2018,705
466,52,2004,1
467,52,2010,28
468,52,2011,474
469,52,2012,378
470,52,2013,237
471,52,2014,965
472,52,2015,1974
473,52,2016,1162
474,52,2017,996
475,52,2018,1031
476,53,2010,23
477,53,2011,625
478,53,2012,752
479,53,2013,497
480,53,2014,1830
481,53,2015,2052
482,53,2016,1907
483,53,2017,1648
484,53,2018,1571
485,54,2010,2
486,54,2011,41
487,54,2012,58
488,54,2013,66
489,54,2014,191
490,54,2015,222
491,54,2016,304
492,54,2017,154
493,54,2018,147
494,55,2010,32
495,55,2011,240
496,55,2012,218
497,55,2013,189
498,55,2014,556
499,55,2015,434
500,55,2016,582
501,55,2017,606
502,55,2018,522
503,56,2010,18
504,56,2011,761
505,56,2012,497
506,56,2013,511
507,56,2014,1532
508,56,2015,1599
509,56,2016,1810
510,56,2017,1757
511,56,2018,1232
512,57,2010,15
513,57,2011,219
514,57,2012,124
515,57,2013,119
516,57,2014,292
517,57,2015,292
518,57,2016,556
519,57,2017,359
520,57,2018,397
521,58,2010,35
522,58,2011,349
523,58,2012,271
524,58,2013,219
525,58,2014,462
526,58,2015,729
527,58,2016,907
528,58,2017,837
529,58,2018,532
530,59,2010,9
531,59,2011,188
532,59,2012,105
533,59,2013,122
534,59,2014,349
535,59,2015,455
536,59,2016,551
537,59,2017,439
538,59,2018,426
539,60,2010,2
540,60,2011,257
541,60,2012,252
542,60,2013,263
543,60,2014,508
544,60,2015,718
545,60,2016,786
546,60,2017,721
547,60,2018,603
548,61,2010,17
549,61,2011,511
550,61,2012,452
551,61,2013,401
552,61,2014,916
553,61,2015,1802
554,61,2016,2033
555,61,2017,1169
556,61,2018,1336
557,62,2010,13
558,62,2011,274
559,62,2012,154
560,62,2013,199
561,62,2014,524
562,62,2015,541
563,62,2016,659
564,62,2017,470
565,62,2018,497
566,63,2010,28
567,63,2011,354
568,63,2012,197
569,63,2013,176
570,63,2014,769
571,63,2015,901
572,63,2016,1073
573,63,2017,830
574,63,2018,624
575,64,2010,9
576,64,2011,562
577,64,2012,379
578,64,2013,445
579,64,2014,966
580,64,2015,1091
581,64,2016,1283
582,64,2017,1044
583,64,2018,884
584,65,2010,12
585,65,2011,501
586,65,2012,228
587,65,2013,283
588,65,2014,912
589,65,2015,1079
590,65,2016,1492
591,65,2017,1001
592,65,2018,725
593,66,2010,37
594,66,2011,613
595,66,2012,643
596,66,2013,595
597,66,2014,1817
598,66,2015,2356
599,66,2016,2190
600,66,2017,1856
601,66,2018,1394
602,67,2010,49
603,67,2011,746
604,67,2012,577
605,67,2013,489
606,67,2014,1620
607,67,2015,2349
608,67,2016,2283
609,67,2017,1536
610,67,2018,1189
611,68,2010,28
612,68,2011,433
613,68,2012,391
614,68,2013,422
615,68,2014,1201
616,68,2015,1991
617,68,2016,1628
618,68,2017,1383
619,68,2018,1115
620,69,2010,17
621,69,2011,667
622,69,2012,489
623,69,2013,475
624,69,2014,1512
625,69,2015,1833
626,69,2016,2190
627,69,2017,1905
628,69,2018,1296
629,70,2010,36
630,70,2011,731
631,70,2012,767
632,70,2013,599
633,70,2014,1927
634,70,2015,2675
635,70,2016,2290
636,70,2017,2314
637,70,2018,1733
638,71,2010,54
639,71,2011,1050
640,71,2012,959
641,71,2013,797
642,71,2014,2511
643,71,2015,3029
644,71,2016,3196
645,71,2017,2235
646,71,2018,1996
