,Community Area,Beat
0,0.0,8
1,1.0,5
2,2.0,5
3,3.0,14
4,4.0,7
5,5.0,10
6,6.0,14
7,7.0,10
8,8.0,8
9,9.0,2
10,10.0,5
11,11.0,4
12,12.0,3
13,13.0,3
14,14.0,5
15,15.0,7
16,16.0,6
17,17.0,5
18,18.0,2
19,19.0,7
20,20.0,8
21,21.0,6
22,22.0,13
23,23.0,16
24,24.0,21
25,25.0,19
26,26.0,7
27,27.0,9
28,28.0,25
29,29.0,13
30,30.0,12
31,31.0,14
32,32.0,12
33,33.0,9
34,34.0,11
35,35.0,8
36,36.0,5
37,37.0,11
38,38.0,8
39,39.0,6
40,40.0,6
41,41.0,8
42,42.0,8
43,43.0,10
44,44.0,10
45,45.0,4
46,46.0,7
47,47.0,3
48,48.0,4
49,49.0,11
50,50.0,4
51,51.0,9
52,52.0,3
53,53.0,4
54,54.0,2
55,55.0,3
56,56.0,6
57,57.0,2
58,58.0,7
59,59.0,5
60,60.0,9
61,61.0,11
62,62.0,4
63,63.0,9
64,64.0,4
65,65.0,5
66,66.0,8
67,67.0,14
68,68.0,17
69,69.0,13
70,70.0,5
71,71.0,9
72,72.0,4
73,73.0,6
74,74.0,1
75,75.0,4
76,76.0,8
77,77.0,5
