,Community,month,year,Sanitation_request
0,0.0,2,2011,2
1,0.0,11,2011,1
2,1.0,1,2011,5
3,1.0,1,2012,10
4,1.0,1,2013,14
5,1.0,1,2014,12
6,1.0,1,2015,8
7,1.0,1,2016,13
8,1.0,1,2017,17
9,1.0,1,2018,33
10,1.0,2,2011,13
11,1.0,2,2012,13
12,1.0,2,2013,16
13,1.0,2,2014,22
14,1.0,2,2015,12
15,1.0,2,2016,13
16,1.0,2,2017,15
17,1.0,2,2018,43
18,1.0,3,2011,21
19,1.0,3,2012,44
20,1.0,3,2013,16
21,1.0,3,2014,24
22,1.0,3,2015,13
23,1.0,3,2016,11
24,1.0,3,2017,7
25,1.0,3,2018,21
26,1.0,4,2011,24
27,1.0,4,2012,17
28,1.0,4,2013,35
29,1.0,4,2014,30
30,1.0,4,2015,15
31,1.0,4,2016,14
32,1.0,4,2017,10
33,1.0,4,2018,8
34,1.0,5,2011,23
35,1.0,5,2012,32
36,1.0,5,2013,32
37,1.0,5,2014,26
38,1.0,5,2015,16
39,1.0,5,2016,25
40,1.0,5,2017,12
41,1.0,5,2018,21
42,1.0,6,2011,19
43,1.0,6,2012,36
44,1.0,6,2013,27
45,1.0,6,2014,16
46,1.0,6,2015,12
47,1.0,6,2016,22
48,1.0,6,2017,25
49,1.0,6,2018,16
50,1.0,7,2011,21
51,1.0,7,2012,28
52,1.0,7,2013,29
53,1.0,7,2014,19
54,1.0,7,2015,14
55,1.0,7,2016,15
56,1.0,7,2017,26
57,1.0,7,2018,14
58,1.0,8,2011,26
59,1.0,8,2012,42
60,1.0,8,2013,25
61,1.0,8,2014,19
62,1.0,8,2015,23
63,1.0,8,2016,17
64,1.0,8,2017,35
65,1.0,8,2018,32
66,1.0,9,2011,19
67,1.0,9,2012,31
68,1.0,9,2013,29
69,1.0,9,2014,19
70,1.0,9,2015,17
71,1.0,9,2016,14
72,1.0,9,2017,17
73,1.0,9,2018,28
74,1.0,10,2011,17
75,1.0,10,2012,36
76,1.0,10,2013,18
77,1.0,10,2014,7
78,1.0,10,2015,11
79,1.0,10,2016,15
80,1.0,10,2017,24
81,1.0,10,2018,12
82,1.0,11,2011,22
83,1.0,11,2012,16
84,1.0,11,2013,14
85,1.0,11,2014,8
86,1.0,11,2015,10
87,1.0,11,2016,17
88,1.0,11,2017,15
89,1.0,12,2011,9
90,1.0,12,2012,17
91,1.0,12,2013,11
92,1.0,12,2014,5
93,1.0,12,2015,17
94,1.0,12,2016,11
95,1.0,12,2017,8
96,2.0,1,2011,18
97,2.0,1,2012,11
98,2.0,1,2013,20
99,2.0,1,2014,18
100,2.0,1,2015,19
101,2.0,1,2016,23
102,2.0,1,2017,20
103,2.0,1,2018,32
104,2.0,2,2011,46
105,2.0,2,2012,22
106,2.0,2,2013,20
107,2.0,2,2014,26
108,2.0,2,2015,39
109,2.0,2,2016,29
110,2.0,2,2017,36
111,2.0,2,2018,39
112,2.0,3,2011,44
113,2.0,3,2012,27
114,2.0,3,2013,32
115,2.0,3,2014,44
116,2.0,3,2015,36
117,2.0,3,2016,33
118,2.0,3,2017,36
119,2.0,3,2018,43
120,2.0,4,2011,43
121,2.0,4,2012,34
122,2.0,4,2013,36
123,2.0,4,2014,30
124,2.0,4,2015,40
125,2.0,4,2016,31
126,2.0,4,2017,42
127,2.0,4,2018,23
128,2.0,5,2011,37
129,2.0,5,2012,46
130,2.0,5,2013,53
131,2.0,5,2014,43
132,2.0,5,2015,40
133,2.0,5,2016,70
134,2.0,5,2017,79
135,2.0,5,2018,44
136,2.0,6,2011,49
137,2.0,6,2012,49
138,2.0,6,2013,35
139,2.0,6,2014,37
140,2.0,6,2015,42
141,2.0,6,2016,64
142,2.0,6,2017,47
143,2.0,6,2018,30
144,2.0,7,2011,52
145,2.0,7,2012,58
146,2.0,7,2013,41
147,2.0,7,2014,24
148,2.0,7,2015,32
149,2.0,7,2016,35
150,2.0,7,2017,42
151,2.0,7,2018,45
152,2.0,8,2011,44
153,2.0,8,2012,34
154,2.0,8,2013,43
155,2.0,8,2014,46
156,2.0,8,2015,47
157,2.0,8,2016,53
158,2.0,8,2017,53
159,2.0,8,2018,33
160,2.0,9,2011,32
161,2.0,9,2012,40
162,2.0,9,2013,27
163,2.0,9,2014,43
164,2.0,9,2015,50
165,2.0,9,2016,39
166,2.0,9,2017,26
167,2.0,9,2018,38
168,2.0,10,2011,20
169,2.0,10,2012,42
170,2.0,10,2013,20
171,2.0,10,2014,31
172,2.0,10,2015,25
173,2.0,10,2016,42
174,2.0,10,2017,56
175,2.0,10,2018,23
176,2.0,11,2011,25
177,2.0,11,2012,21
178,2.0,11,2013,13
179,2.0,11,2014,21
180,2.0,11,2015,24
181,2.0,11,2016,33
182,2.0,11,2017,16
183,2.0,12,2010,4
184,2.0,12,2011,18
185,2.0,12,2012,12
186,2.0,12,2013,18
187,2.0,12,2014,28
188,2.0,12,2015,22
189,2.0,12,2016,19
190,2.0,12,2017,25
191,3.0,1,2011,7
192,3.0,1,2012,8
193,3.0,1,2013,10
194,3.0,1,2014,9
195,3.0,1,2015,23
196,3.0,1,2016,14
197,3.0,1,2017,5
198,3.0,1,2018,13
199,3.0,2,2011,17
200,3.0,2,2012,12
201,3.0,2,2013,6
202,3.0,2,2014,25
203,3.0,2,2015,55
204,3.0,2,2016,13
205,3.0,2,2017,5
206,3.0,2,2018,9
207,3.0,3,2011,26
208,3.0,3,2012,9
209,3.0,3,2013,8
210,3.0,3,2014,25
211,3.0,3,2015,47
212,3.0,3,2016,18
213,3.0,3,2017,12
214,3.0,3,2018,16
215,3.0,4,2011,15
216,3.0,4,2012,16
217,3.0,4,2013,20
218,3.0,4,2014,10
219,3.0,4,2015,12
220,3.0,4,2016,21
221,3.0,4,2017,11
222,3.0,4,2018,13
223,3.0,5,2011,12
224,3.0,5,2012,15
225,3.0,5,2013,13
226,3.0,5,2014,27
227,3.0,5,2015,44
228,3.0,5,2016,18
229,3.0,5,2017,14
230,3.0,5,2018,29
231,3.0,6,2011,15
232,3.0,6,2012,13
233,3.0,6,2013,23
234,3.0,6,2014,33
235,3.0,6,2015,43
236,3.0,6,2016,57
237,3.0,6,2017,27
238,3.0,6,2018,25
239,3.0,7,2011,20
240,3.0,7,2012,22
241,3.0,7,2013,29
242,3.0,7,2014,51
243,3.0,7,2015,44
244,3.0,7,2016,52
245,3.0,7,2017,42
246,3.0,7,2018,37
247,3.0,8,2011,21
248,3.0,8,2012,17
249,3.0,8,2013,18
250,3.0,8,2014,65
251,3.0,8,2015,24
252,3.0,8,2016,58
253,3.0,8,2017,31
254,3.0,8,2018,20
255,3.0,9,2011,19
256,3.0,9,2012,13
257,3.0,9,2013,22
258,3.0,9,2014,23
259,3.0,9,2015,17
260,3.0,9,2016,55
261,3.0,9,2017,27
262,3.0,9,2018,24
263,3.0,10,2011,12
264,3.0,10,2012,10
265,3.0,10,2013,12
266,3.0,10,2014,15
267,3.0,10,2015,21
268,3.0,10,2016,52
