,Community,month,year,Street_lights
0,0,1,2011,4
1,0,1,2013,5
2,0,1,2014,1
3,0,1,2015,13
4,0,1,2016,11
5,0,1,2017,18
6,0,1,2018,23
7,0,2,2011,3
8,0,2,2012,3
9,0,2,2013,4
10,0,2,2014,6
11,0,2,2015,5
12,0,2,2016,13
13,0,2,2017,14
14,0,2,2018,17
15,0,3,2011,2
16,0,3,2012,4
17,0,3,2013,2
18,0,3,2014,2
19,0,3,2015,9
20,0,3,2016,24
21,0,3,2017,8
22,0,3,2018,8
23,0,4,2011,1
24,0,4,2014,3
25,0,4,2015,24
26,0,4,2016,13
27,0,4,2017,7
28,0,4,2018,2
29,0,5,2013,1
30,0,5,2014,6
31,0,5,2015,12
32,0,5,2016,12
33,0,5,2017,23
34,0,5,2018,10
35,0,6,2011,2
36,0,6,2012,2
37,0,6,2014,9
38,0,6,2015,9
39,0,6,2016,14
40,0,6,2017,15
41,0,6,2018,25
42,0,7,2011,4
43,0,7,2012,4
44,0,7,2013,2
45,0,7,2014,12
46,0,7,2015,8
47,0,7,2016,18
48,0,7,2017,18
49,0,7,2018,7
50,0,8,2011,3
51,0,8,2012,2
52,0,8,2014,8
53,0,8,2015,39
54,0,8,2016,10
55,0,8,2017,15
56,0,8,2018,12
57,0,9,2011,4
58,0,9,2012,2
59,0,9,2013,1
60,0,9,2014,23
61,0,9,2015,18
62,0,9,2016,8
63,0,9,2017,8
64,0,9,2018,14
65,0,10,2010,1
66,0,10,2011,8
67,0,10,2012,8
68,0,10,2013,6
69,0,10,2014,19
70,0,10,2015,11
71,0,10,2016,20
72,0,10,2017,15
73,0,10,2018,7
74,0,11,2011,4
75,0,11,2012,2
76,0,11,2014,10
77,0,11,2015,7
78,0,11,2016,16
79,0,11,2017,13
80,0,12,2010,1
81,0,12,2011,3
82,0,12,2012,3
83,0,12,2013,2
84,0,12,2014,8
85,0,12,2015,16
86,0,12,2016,14
87,0,12,2017,10
88,1,1,2011,20
89,1,1,2012,22
90,1,1,2013,9
91,1,1,2014,7
92,1,1,2015,19
93,1,1,2016,24
94,1,1,2017,54
95,1,1,2018,56
96,1,2,2011,14
97,1,2,2012,15
98,1,2,2013,21
99,1,2,2014,10
100,1,2,2015,14
101,1,2,2016,37
102,1,2,2017,27
103,1,2,2018,40
104,1,3,2011,13
105,1,3,2012,22
106,1,3,2013,12
107,1,3,2014,7
108,1,3,2015,90
109,1,3,2016,43
110,1,3,2017,25
111,1,3,2018,46
112,1,4,2011,16
113,1,4,2012,18
114,1,4,2013,9
115,1,4,2014,17
116,1,4,2015,28
117,1,4,2016,51
118,1,4,2017,36
119,1,4,2018,20
120,1,5,2011,10
121,1,5,2012,12
122,1,5,2013,11
123,1,5,2014,33
124,1,5,2015,13
125,1,5,2016,27
126,1,5,2017,34
127,1,5,2018,27
128,1,6,2011,30
129,1,6,2012,8
130,1,6,2013,14
131,1,6,2014,73
132,1,6,2015,28
133,1,6,2016,45
134,1,6,2017,20
135,1,6,2018,19
136,1,7,2011,39
137,1,7,2012,13
138,1,7,2013,19
139,1,7,2014,34
140,1,7,2015,30
141,1,7,2016,41
142,1,7,2017,33
143,1,7,2018,58
144,1,8,2011,37
145,1,8,2012,26
146,1,8,2013,31
147,1,8,2014,40
148,1,8,2015,70
149,1,8,2016,67
150,1,8,2017,44
151,1,8,2018,42
152,1,9,2011,40
153,1,9,2012,12
154,1,9,2013,23
155,1,9,2014,39
156,1,9,2015,57
157,1,9,2016,58
158,1,9,2017,25
159,1,9,2018,72
160,1,10,2011,34
161,1,10,2012,23
162,1,10,2013,10
163,1,10,2014,17
164,1,10,2015,38
165,1,10,2016,98
166,1,10,2017,33
167,1,10,2018,107
168,1,11,2010,5
169,1,11,2011,48
170,1,11,2012,21
171,1,11,2013,13
172,1,11,2014,28
173,1,11,2015,74
174,1,11,2016,30
175,1,11,2017,38
176,1,12,2010,4
177,1,12,2011,12
178,1,12,2012,9
179,1,12,2013,8
180,1,12,2014,37
181,1,12,2015,48
182,1,12,2016,38
183,1,12,2017,22
184,2,1,2011,22
185,2,1,2012,57
186,2,1,2013,30
187,2,1,2014,14
188,2,1,2015,120
189,2,1,2016,119
190,2,1,2017,137
191,2,1,2018,73
192,2,2,2011,50
193,2,2,2012,42
194,2,2,2013,27
195,2,2,2014,34
196,2,2,2015,90
197,2,2,2016,76
198,2,2,2017,64
199,2,2,2018,71
200,2,3,2011,49
201,2,3,2012,56
202,2,3,2013,8
203,2,3,2014,47
204,2,3,2015,64
205,2,3,2016,45
206,2,3,2017,92
207,2,3,2018,104
208,2,4,2011,31
209,2,4,2012,59
210,2,4,2013,48
211,2,4,2014,46
212,2,4,2015,36
213,2,4,2016,43
214,2,4,2017,45
215,2,4,2018,59
216,2,5,2011,38
217,2,5,2012,40
218,2,5,2013,40
219,2,5,2014,73
220,2,5,2015,60
221,2,5,2016,160
222,2,5,2017,61
223,2,5,2018,79
224,2,6,2011,41
225,2,6,2012,16
226,2,6,2013,43
227,2,6,2014,111
228,2,6,2015,88
229,2,6,2016,76
230,2,6,2017,57
231,2,6,2018,84
232,2,7,2011,68
233,2,7,2012,36
234,2,7,2013,46
