,Year,month,time,Community,crime_count,Street_lights,Sanitation_request,building_abandon,Total,asian,Black,hispanic,white,other 
0,2010,1,afternoon,44,214,1,1,4,31493,90,30636,230,202,335
1,2010,1,afternoon,45,47,1,1,2,10098,30,9721,59,220,68
2,2010,1,afternoon,46,191,1,1,2,28550,106,20802,6494,875,273
3,2010,1,afternoon,47,13,1,1,0,2618,0,2618,0,0,0
4,2010,1,afternoon,48,51,1,1,1,13400,19,12462,519,269,131
5,2010,1,afternoon,49,273,1,1,11,44267,150,42822,489,471,335
6,2010,1,afternoon,5,50,1,1,8,34815,1313,594,4817,27043,1048
7,2010,1,afternoon,50,46,1,1,1,6970,42,5735,570,605,18
8,2010,1,afternoon,51,49,1,1,0,15570,36,9722,4931,709,172
9,2010,1,afternoon,52,59,1,1,3,23739,34,398,19148,4086,73
10,2010,1,afternoon,53,129,1,1,6,28160,51,26297,1275,279,258
11,2010,1,afternoon,54,34,1,1,3,7190,0,6910,180,74,26
12,2010,1,afternoon,55,13,1,1,2,9338,16,408,4887,3971,56
13,2010,1,afternoon,56,50,1,1,1,34743,512,1461,15297,17169,304
14,2010,1,afternoon,57,32,1,1,0,13998,333,111,10585,2890,79
15,2010,1,afternoon,58,86,1,1,0,44130,3032,577,37509,2950,62
16,2010,1,afternoon,59,51,1,1,0,16449,3185,446,9487,3104,227
17,2010,1,afternoon,6,156,1,1,0,97968,6639,3430,7133,78123,2643
18,2010,1,afternoon,60,63,1,1,0,31939,10868,874,8941,10437,819
19,2010,1,afternoon,61,215,1,1,2,41598,927,11222,23536,5473,440
20,2010,1,afternoon,62,37,1,1,1,19165,257,133,15354,3397,24
21,2010,1,afternoon,63,96,1,1,2,40381,333,1336,37260,1421,31
22,2010,1,afternoon,64,31,1,1,3,24452,345,167,12005,11776,159
23,2010,1,afternoon,65,80,1,1,3,33477,143,932,26926,5350,126
24,2010,1,afternoon,66,287,1,1,1,56293,421,27974,25583,1854,461
25,2010,1,afternoon,67,267,1,1,6,34272,11,32203,1297,258,503
26,2010,1,afternoon,68,285,1,1,4,27297,73,26054,543,226,401
27,2010,1,afternoon,69,239,1,1,5,32849,20,31332,602,419,476
28,2010,1,afternoon,7,121,1,1,5,65951,3633,2691,4771,53345,1511
29,2010,1,afternoon,70,88,1,1,5,42809,195,20584,15384,6232,414
30,2010,1,afternoon,71,275,1,1,6,47611,126,46204,672,175,434
31,2010,1,afternoon,72,35,1,1,4,21002,83,7601,1169,11761,388
32,2010,1,afternoon,73,102,1,1,6,26435,1,25394,359,198,483
33,2010,1,afternoon,74,23,1,1,1,18357,410,826,1040,15870,211
34,2010,1,afternoon,75,78,1,1,3,23204,52,15131,623,6925,473
35,2010,1,afternoon,76,50,1,1,3,14143,1359,150,1675,10375,584
36,2010,1,afternoon,77,91,1,1,2,55276,6482,7685,9007,30151,1951
37,2010,1,afternoon,8,307,1,1,2,84305,9031,7908,4828,60299,2239
38,2010,1,afternoon,9,7,1,1,2,10993,218,117,857,9701,100
39,2010,1,evening,1,158,1,1,1,55053,3526,14325,13530,22094,1578
40,2010,1,evening,10,21,1,1,1,36486,1354,343,4508,29607,674
41,2010,1,evening,11,27,1,1,1,26975,2341,340,5374,18362,558
42,2010,1,evening,12,18,1,1,1,18478,2547,31,2357,13275,268
43,2010,1,evening,13,23,1,1,1,18058,4359,531,3864,8998,306
44,2010,1,evening,14,64,1,1,1,52930,7387,2017,26892,15421,1213
45,2010,1,evening,15,122,1,1,1,64427,2866,827,26980,32755,999
46,2010,1,evening,16,93,1,1,1,56490,4287,1646,26558,22492,1507
47,2010,1,evening,17,56,1,1,1,43053,1583,694,11255,29060,461
48,2010,1,evening,18,26,1,1,1,12840,740,464,7481,4051,104
49,2010,1,evening,19,186,1,1,1,79069,1273,2804,62790,11249,953
